SUBJECT_CODE	SUBJECT_NAME	SUBJECT_CREDIT	BLOCK_NAME
CSL1401	COMPUTER ORGANISATION AND ARCHITECTURE	6	ADMIN
CSL1402	DESIGN AND ANALYSIS OF ALGORITHMS	6	ADMIN
CSL1403	THEORY OF COMPUTATION	6	ADMIN
CSL1404	SYSTEM PROGRAMMING	6	ADMIN
CSL1405	DATA COMMUNICATION	6	ADMIN
CSL1406	LINEAR ALGEBRA AND APPLICATION	6	ADMIN
CSP1401	COMPUTER ORGANISATION AND ARCHITECTURE LABORATORY	3	ADMIN
CSP1404	SYSTEM PROGRAMMING LABORATORY	3	ADMIN
CSP1405	DATA COMMUNICATION LABORATORY	3	ADMIN
CSL1601	PRINCIPLES OF COMPILER DESIGN	6	ADMIN
CSL1602	SOFTWARE ENGINEERING	6	ADMIN
CSL1603	COMPUTER GRAPHICS	6	ADMIN
CSL1604	ARTIFICIAL INTELLIGENCE	6	ADMIN
HUL1601	MACRO ECONOMICS AND BUSINESS ENVIRONMENT	6	BLOCK-1
CSP1601	COMPILER DESIGN LABORATORY	3	ADMIN
CSP1602	SOFTWARE ENGINEERING LABORATORY	3	ADMIN
CSP1603	COMPUTER GRAPHICS LABORATORY	3	ADMIN
CSL1801	NATURAL LANGUAGE PROCESSING	6	ADMIN
CHL1802	ENVIRONMENTAL SCIENCE	6	BLOCK-2
CSL1803	COMPUTATIONAL NUMBER THEORY AND CRYPTOGRAPHY	6	ADMIN
CSD1802	PROJECT PHASE	12	ADMIN
